lon,lat,aqi_index,aqi_timestamp,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,wind_direction_10m,surface_pressure,cloudcover,visibility,dew_point_2m,apparent_temperature,shortwave_radiation,et0_fao_evapotranspiration,soil_temperature_0cm,soil_moisture_0_to_1cm,weather_timestamp,hour,day,month,weekday,aqi_change_rate
67.0207,24.8547,4.0,2024-10-22 19:00:00,1201.63,0.01,45.24,41.13,8.82,68.43,112.67,11.78,27.3,81.0,0.0,11.7,314.0,1011.3,0.0,,23.8,31.5,0.0,0.03,,,2024-10-22 18:29:19,18,22,10,1,
67.0207,24.8547,4.0,2024-10-22 20:00:00,1388.55,0.05,57.58,26.46,8.94,71.22,113.28,10.39,26.8,85.0,0.0,13.2,307.0,1011.2,0.0,,24.0,30.9,0.0,0.02,,,2024-10-22 19:29:19,19,22,10,1,0.0
67.0207,24.8547,5.0,2024-10-22 21:00:00,1468.66,0.06,58.26,21.99,10.01,76.47,117.74,10.64,26.2,90.0,0.0,15.8,323.0,1011.0,0.0,,24.4,30.3,0.0,0.02,,,2024-10-22 20:29:19,20,22,10,1,0.0002777777777777778
67.0207,24.8547,5.0,2024-10-22 22:00:00,1375.2,0.01,48.67,26.82,10.73,79.89,121.13,11.02,26.0,94.0,0.0,15.1,331.0,1010.9,0.0,,24.9,30.5,0.0,0.0,,,2024-10-22 21:29:19,21,22,10,1,0.0
67.0207,24.8547,4.0,2024-10-22 23:00:00,1001.36,0.0,30.85,43.99,8.82,72.51,111.48,8.87,26.0,94.0,0.0,13.7,322.0,1011.0,0.0,,24.9,30.6,0.0,0.0,,,2024-10-22 22:29:19,22,22,10,1,-0.0002777777777777778
67.0207,24.8547,4.0,2024-10-23 00:00:00,667.57,0.0,17.48,61.51,6.56,63.41,98.37,6.27,25.2,95.0,0.0,4.6,228.0,1011.2,0.0,,24.3,30.8,0.0,0.0,,,2024-10-22 23:29:19,23,22,10,1,0.0
67.0207,24.8547,4.0,2024-10-23 01:00:00,547.41,0.0,13.02,69.38,5.54,58.82,90.22,5.0,25.4,94.0,0.0,8.6,217.0,1011.4,0.0,,24.4,30.5,0.0,0.0,,,2024-10-23 00:29:19,0,23,10,2,0.0
67.0207,24.8547,4.0,2024-10-23 02:00:00,747.68,0.0,21.42,61.51,7.03,63.61,95.19,7.03,25.0,93.0,0.0,7.0,267.0,1011.8,0.0,,23.6,29.8,0.0,0.0,,,2024-10-23 01:29:19,1,23,10,2,0.0
67.0207,24.8547,5.0,2024-10-23 03:00:00,1401.9,2.4,52.09,32.9,10.49,80.22,116.8,12.92,25.2,91.0,0.0,6.8,302.0,1012.6,0.0,,23.7,30.2,6.0,0.02,,,2024-10-23 02:29:19,2,23,10,2,0.0002777777777777778
67.0207,24.8547,5.0,2024-10-23 04:00:00,2216.34,21.9,69.23,21.82,14.31,95.3,138.98,17.99,27.5,80.0,0.0,6.5,300.0,1013.1,0.0,,23.6,32.4,124.0,0.09,,,2024-10-23 03:29:19,3,23,10,2,0.0
67.0207,24.8547,5.0,2024-10-23 05:00:00,2643.59,32.63,76.09,30.04,17.17,102.29,151.73,22.04,29.5,70.0,0.0,10.6,285.0,1013.6,0.0,,23.4,33.6,324.0,0.25,,,2024-10-23 04:29:19,4,23,10,2,0.0
67.0207,24.8547,5.0,2024-10-23 06:00:00,2349.85,20.34,73.34,62.94,18.84,98.67,151.65,21.79,31.3,58.0,0.0,10.6,281.0,1013.5,0.0,,22.0,34.6,516.0,0.41,,,2024-10-23 05:29:19,5,23,10,2,0.0
67.0207,24.8547,4.0,2024-10-23 07:00:00,921.25,3.63,26.73,124.45,15.26,61.82,114.37,8.61,33.0,47.0,0.0,12.2,271.0,1012.9,0.0,,20.3,35.9,666.0,0.55,,,2024-10-23 06:29:19,6,23,10,2,-0.0002777777777777778
